order_id,order_date,category,product_name,unit_price,quantity,payment_method,payment_status,total_sales,order_month,order_day
ORD-10000,2026-02-05 20:00:00,Accessories,Headphone Bluetooth,450000,3,Midtrans - Bank Transfer,Paid,1350000,2026-02,Thursday
ORD-10001,2026-08-06 18:00:00,Fashion,Kemeja Casual,250000,3,Credit Card,Paid,750000,2026-08,Thursday
ORD-10002,2026-08-05 07:00:00,Accessories,Headphone Bluetooth,450000,3,Midtrans - Bank Transfer,Paid,1350000,2026-08,Wednesday
ORD-10003,2026-06-07 04:00:00,Home & Living,Lampu Meja,150000,3,Credit Card,Paid,450000,2026-06,Sunday
ORD-10004,2026-05-09 20:00:00,Home & Living,Lampu Meja,150000,1,Midtrans - QRIS,Pending,150000,2026-05,Saturday
ORD-10005,2026-01-20 10:00:00,Fashion,Kemeja Casual,250000,2,Midtrans - QRIS,Paid,500000,2026-01,Tuesday
ORD-10006,2026-07-04 10:00:00,Gadgets,Smartwatch,1200000,3,Midtrans - QRIS,Paid,3600000,2026-07,Saturday
ORD-10007,2026-05-24 12:00:00,Home & Living,Lampu Meja,150000,1,Midtrans - Bank Transfer,Paid,150000,2026-05,Sunday
ORD-10008,2026-05-13 03:00:00,Fashion,Kemeja Casual,250000,1,Credit Card,Paid,250000,2026-05,Wednesday
ORD-10009,2026-05-02 15:00:00,Home & Living,Lampu Meja,150000,2,Credit Card,Paid,300000,2026-05,Saturday
ORD-10010,2026-01-06 10:00:00,Fashion,Kemeja Casual,250000,3,E-Wallet,Paid,750000,2026-01,Tuesday
ORD-10011,2026-03-12 05:00:00,Accessories,Headphone Bluetooth,450000,1,Midtrans - QRIS,Pending,450000,2026-03,Thursday
ORD-10012,2026-02-02 01:00:00,Gadgets,Smartwatch,1200000,2,E-Wallet,Paid,2400000,2026-02,Monday
ORD-10013,2026-04-10 15:00:00,Electronics,Laptop,8500000,2,Midtrans - Bank Transfer,Paid,17000000,2026-04,Friday
ORD-10014,2026-04-12 09:00:00,Electronics,Laptop,8500000,2,Midtrans - QRIS,Paid,17000000,2026-04,Sunday
ORD-10015,2026-07-30 11:00:00,Fashion,Kemeja Casual,250000,2,Midtrans - QRIS,Failed,500000,2026-07,Thursday
ORD-10016,2026-02-19 08:00:00,Accessories,Headphone Bluetooth,450000,3,Credit Card,Paid,1350000,2026-02,Thursday
ORD-10017,2026-07-09 19:00:00,Gadgets,Smartwatch,1200000,3,Midtrans - Bank Transfer,Paid,3600000,2026-07,Thursday
ORD-10018,2026-05-22 01:00:00,Home & Living,Lampu Meja,150000,3,Midtrans - QRIS,Paid,450000,2026-05,Friday
ORD-10019,2026-06-21 13:00:00,Fashion,Kemeja Casual,250000,2,Midtrans - QRIS,Failed,500000,2026-06,Sunday
ORD-10020,2026-07-21 19:00:00,Electronics,Laptop,8500000,3,Midtrans - Bank Transfer,Paid,25500000,2026-07,Tuesday
ORD-10021,2026-05-02 00:00:00,Accessories,Headphone Bluetooth,450000,1,Credit Card,Paid,450000,2026-05,Saturday
ORD-10022,2026-01-20 18:00:00,Fashion,Kemeja Casual,250000,3,Midtrans - QRIS,Paid,750000,2026-01,Tuesday
ORD-10023,2026-02-15 02:00:00,Home & Living,Lampu Meja,150000,3,Credit Card,Failed,450000,2026-02,Sunday
ORD-10024,2026-04-17 14:00:00,Gadgets,Smartwatch,1200000,1,Midtrans - Bank Transfer,Pending,1200000,2026-04,Friday
ORD-10025,2026-03-27 07:00:00,Accessories,Headphone Bluetooth,450000,3,E-Wallet,Paid,1350000,2026-03,Friday
ORD-10026,2026-04-25 11:00:00,Electronics,Laptop,8500000,1,Credit Card,Paid,8500000,2026-04,Saturday
ORD-10027,2026-02-10 15:00:00,Fashion,Kemeja Casual,250000,2,Credit Card,Paid,500000,2026-02,Tuesday
ORD-10028,2026-03-17 06:00:00,Home & Living,Lampu Meja,150000,1,Midtrans - Bank Transfer,Paid,150000,2026-03,Tuesday
ORD-10029,2026-01-08 21:00:00,Fashion,Kemeja Casual,250000,3,E-Wallet,Paid,750000,2026-01,Thursday
ORD-10030,2026-04-24 22:00:00,Gadgets,Smartwatch,1200000,2,Midtrans - Bank Transfer,Paid,2400000,2026-04,Friday
ORD-10031,2026-05-06 05:00:00,Accessories,Headphone Bluetooth,450000,3,Credit Card,Paid,1350000,2026-05,Wednesday
ORD-10032,2026-07-14 02:00:00,Gadgets,Smartwatch,1200000,3,Credit Card,Paid,3600000,2026-07,Tuesday
ORD-10033,2026-03-21 03:00:00,Gadgets,Smartwatch,1200000,1,E-Wallet,Pending,1200000,2026-03,Saturday
ORD-10034,2026-02-22 19:00:00,Home & Living,Lampu Meja,150000,2,Credit Card,Paid,300000,2026-02,Sunday
ORD-10035,2026-03-05 16:00:00,Electronics,Laptop,8500000,2,E-Wallet,Paid,17000000,2026-03,Thursday
ORD-10036,2026-05-14 10:00:00,Electronics,Laptop,8500000,2,E-Wallet,Paid,17000000,2026-05,Thursday
ORD-10037,2026-05-29 04:00:00,Accessories,Headphone Bluetooth,450000,1,Midtrans - QRIS,Paid,450000,2026-05,Friday
ORD-10038,2026-06-12 02:00:00,Home & Living,Lampu Meja,150000,1,Midtrans - Bank Transfer,Paid,150000,2026-06,Friday
ORD-10039,2026-01-27 22:00:00,Fashion,Kemeja Casual,250000,2,E-Wallet,Paid,500000,2026-01,Tuesday
ORD-10040,2026-05-01 08:00:00,Home & Living,Lampu Meja,150000,1,Midtrans - Bank Transfer,Paid,150000,2026-05,Friday
ORD-10041,2026-04-12 11:00:00,Electronics,Laptop,8500000,3,Midtrans - QRIS,Paid,25500000,2026-04,Sunday
ORD-10042,2026-01-26 00:00:00,Electronics,Laptop,8500000,1,E-Wallet,Failed,8500000,2026-01,Monday
ORD-10043,2026-04-09 11:00:00,Gadgets,Smartwatch,1200000,1,Midtrans - QRIS,Paid,1200000,2026-04,Thursday
ORD-10044,2026-03-27 21:00:00,Fashion,Kemeja Casual,250000,1,Midtrans - QRIS,Paid,250000,2026-03,Friday
ORD-10045,2026-01-11 01:00:00,Electronics,Laptop,8500000,1,Midtrans - QRIS,Paid,8500000,2026-01,Sunday
ORD-10046,2026-03-27 01:00:00,Gadgets,Smartwatch,1200000,2,Midtrans - QRIS,Paid,2400000,2026-03,Friday
ORD-10047,2026-04-28 16:00:00,Fashion,Kemeja Casual,250000,2,Midtrans - QRIS,Paid,500000,2026-04,Tuesday
ORD-10048,2026-04-19 20:00:00,Fashion,Kemeja Casual,250000,2,Credit Card,Paid,500000,2026-04,Sunday
ORD-10049,2026-02-26 19:00:00,Home & Living,Lampu Meja,150000,1,Credit Card,Paid,150000,2026-02,Thursday
ORD-10050,2026-03-03 14:00:00,Electronics,Laptop,8500000,2,Midtrans - Bank Transfer,Paid,17000000,2026-03,Tuesday
ORD-10051,2026-04-17 12:00:00,Electronics,Laptop,8500000,2,E-Wallet,Paid,17000000,2026-04,Friday
