Customer Id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Customer Segment
ORD-10000,186,1,1350000,1,1,3,Hibernating
ORD-10001,4,1,750000,4,1,2,Potential
ORD-10002,5,1,1350000,4,1,3,Potential
ORD-10003,64,1,450000,3,1,1,Potential
ORD-10004,93,1,150000,3,1,1,Potential
ORD-10005,202,1,500000,1,1,2,Hibernating
ORD-10006,37,1,3600000,4,1,3,Potential
ORD-10007,78,1,150000,3,1,1,Potential
ORD-10008,89,1,250000,3,1,1,Potential
ORD-10009,100,1,300000,3,1,1,Potential
ORD-10010,216,1,750000,1,1,2,Hibernating
ORD-10011,151,1,450000,2,1,1,Hibernating
ORD-10012,189,1,2400000,1,1,3,Hibernating
ORD-10013,122,1,17000000,2,1,4,Hibernating
ORD-10014,120,1,17000000,2,1,4,Hibernating
ORD-10015,11,1,500000,4,1,2,Potential
ORD-10016,172,1,1350000,1,1,3,Hibernating
ORD-10017,32,1,3600000,4,1,3,Potential
ORD-10018,80,1,450000,3,1,1,Potential
ORD-10019,50,1,500000,4,1,2,Potential
ORD-10020,20,1,25500000,4,1,4,Potential
ORD-10021,100,1,450000,3,1,1,Potential
ORD-10022,202,1,750000,1,1,2,Hibernating
ORD-10023,176,1,450000,1,1,1,Hibernating
ORD-10024,115,1,1200000,2,1,3,Hibernating
ORD-10025,136,1,1350000,2,1,3,Hibernating
ORD-10026,107,1,8500000,2,1,4,Hibernating
ORD-10027,181,1,500000,1,1,2,Hibernating
ORD-10028,146,1,150000,2,1,1,Hibernating
ORD-10029,214,1,750000,1,1,2,Hibernating
ORD-10030,107,1,2400000,2,1,3,Hibernating
ORD-10031,96,1,1350000,3,1,3,Potential
ORD-10032,27,1,3600000,4,1,3,Potential
ORD-10033,142,1,1200000,2,1,3,Hibernating
ORD-10034,169,1,300000,1,1,1,Hibernating
ORD-10035,158,1,17000000,2,1,4,Hibernating
ORD-10036,88,1,17000000,3,1,4,Potential
ORD-10037,73,1,450000,3,1,1,Potential
ORD-10038,59,1,150000,3,1,1,Potential
ORD-10039,194,1,500000,1,1,2,Hibernating
ORD-10040,101,1,150000,3,1,1,Potential
ORD-10041,120,1,25500000,2,1,4,Hibernating
ORD-10042,196,1,8500000,1,1,4,Hibernating
ORD-10043,123,1,1200000,2,1,3,Hibernating
ORD-10044,136,1,250000,2,1,1,Hibernating
ORD-10045,211,1,8500000,1,1,4,Hibernating
ORD-10046,136,1,2400000,2,1,3,Hibernating
ORD-10047,104,1,500000,3,1,2,Potential
ORD-10048,113,1,500000,2,1,2,Hibernating
ORD-10049,165,1,150000,1,1,1,Hibernating
ORD-10050,160,1,17000000,2,1,4,Hibernating
ORD-10051,115,1,17000000,2,1,4,Hibernating
ORD-10052,189,1,500000,1,1,2,Hibernating
ORD-10053,54,1,450000,3,1,1,Potential
ORD-10054,220,1,2400000,1,1,3,Hibernating
ORD-10055,90,1,450000,3,1,1,Potential
ORD-10056,140,1,300000,2,1,1,Hibernating
ORD-10057,155,1,1200000,2,1,3,Hibernating
ORD-10058,57,1,750000,3,1,2,Potential
ORD-10059,93,1,450000,3,1,1,Potential
ORD-10060,179,1,300000,1,1,1,Hibernating
ORD-10061,77,1,450000,3,1,1,Potential
ORD-10062,113,1,750000,2,1,2,Hibernating
ORD-10063,4,1,25500000,4,1,4,Potential
ORD-10064,61,1,1350000,3,1,3,Potential
ORD-10065,159,1,1200000,2,1,3,Hibernating
ORD-10066,21,1,2400000,4,1,3,Potential
ORD-10067,215,1,17000000,1,1,4,Hibernating
ORD-10068,42,1,2400000,4,1,3,Potential
ORD-10069,139,1,750000,2,1,2,Hibernating
ORD-10070,180,1,1350000,1,1,3,Hibernating
ORD-10071,17,1,1350000,4,1,3,Potential
ORD-10072,82,1,2400000,3,1,3,Potential
ORD-10073,32,1,750000,4,1,2,Potential
ORD-10074,63,1,450000,3,1,1,Potential
ORD-10075,168,1,1350000,1,1,3,Hibernating
ORD-10076,179,1,17000000,1,1,4,Hibernating
ORD-10077,207,1,150000,1,1,1,Hibernating
ORD-10078,185,1,150000,1,1,1,Hibernating
ORD-10079,177,1,1200000,1,1,3,Hibernating
ORD-10080,18,1,300000,4,1,1,Potential
ORD-10081,55,1,250000,3,1,1,Potential
ORD-10082,19,1,8500000,4,1,4,Potential
ORD-10083,206,1,150000,1,1,1,Hibernating
ORD-10084,201,1,1200000,1,1,3,Hibernating
ORD-10085,2,1,450000,4,1,1,Potential
ORD-10086,135,1,3600000,2,1,3,Hibernating
ORD-10087,60,1,150000,3,1,1,Potential
ORD-10088,219,1,250000,1,1,1,Hibernating
ORD-10089,114,1,250000,2,1,1,Hibernating
ORD-10090,3,1,450000,4,1,1,Potential
ORD-10091,137,1,25500000,2,1,4,Hibernating
ORD-10092,109,1,1200000,2,1,3,Hibernating
ORD-10093,159,1,300000,2,1,1,Hibernating
ORD-10094,2,1,450000,4,1,1,Potential
ORD-10095,205,1,300000,1,1,1,Hibernating
ORD-10096,33,1,3600000,4,1,3,Potential
ORD-10097,35,1,2400000,4,1,3,Potential
ORD-10098,73,1,250000,3,1,1,Potential
ORD-10099,126,1,900000,2,1,2,Hibernating
ORD-10100,92,1,250000,3,1,1,Potential
ORD-10101,213,1,300000,1,1,1,Hibernating
ORD-10102,18,1,17000000,4,1,4,Potential
ORD-10103,92,1,25500000,3,1,4,Potential
ORD-10104,30,1,1200000,4,1,3,Potential
ORD-10105,119,1,450000,2,1,1,Hibernating
ORD-10106,70,1,2400000,3,1,3,Potential
ORD-10107,188,1,8500000,1,1,4,Hibernating
ORD-10108,108,1,450000,2,1,1,Hibernating
ORD-10109,106,1,25500000,3,1,4,Potential
ORD-10110,156,1,2400000,2,1,3,Hibernating
ORD-10111,11,1,250000,4,1,1,Potential
ORD-10112,109,1,1350000,2,1,3,Hibernating
ORD-10113,61,1,8500000,3,1,4,Potential
ORD-10114,179,1,750000,1,1,2,Hibernating
ORD-10115,200,1,1200000,1,1,3,Hibernating
ORD-10116,34,1,25500000,4,1,4,Potential
ORD-10117,185,1,450000,1,1,1,Hibernating
ORD-10118,34,1,500000,4,1,2,Potential
ORD-10119,213,1,900000,1,1,2,Hibernating
ORD-10120,7,1,1200000,4,1,3,Potential
ORD-10121,160,1,1200000,2,1,3,Hibernating
ORD-10122,185,1,3600000,1,1,3,Hibernating
ORD-10123,105,1,750000,3,1,2,Potential
ORD-10124,198,1,450000,1,1,1,Hibernating
ORD-10125,8,1,3600000,4,1,3,Potential
ORD-10126,47,1,450000,4,1,1,Potential
ORD-10127,148,1,300000,2,1,1,Hibernating
ORD-10128,151,1,900000,2,1,2,Hibernating
ORD-10129,86,1,3600000,3,1,3,Potential
ORD-10130,28,1,2400000,4,1,3,Potential
ORD-10131,177,1,900000,1,1,2,Hibernating
ORD-10132,1,1,2400000,4,1,3,Potential
ORD-10133,150,1,17000000,2,1,4,Hibernating
ORD-10134,83,1,2400000,3,1,3,Potential
ORD-10135,90,1,1200000,3,1,3,Potential
ORD-10136,112,1,1350000,2,1,3,Hibernating
ORD-10137,108,1,1200000,2,1,3,Hibernating
ORD-10138,155,1,500000,2,1,2,Hibernating
ORD-10139,94,1,17000000,3,1,4,Potential
ORD-10140,109,1,750000,2,1,2,Hibernating
ORD-10141,18,1,250000,4,1,1,Potential
ORD-10142,7,1,250000,4,1,1,Potential
ORD-10143,70,1,25500000,3,1,4,Potential
ORD-10144,165,1,450000,1,1,1,Hibernating
ORD-10145,139,1,450000,2,1,1,Hibernating
ORD-10146,152,1,17000000,2,1,4,Hibernating
ORD-10147,158,1,17000000,2,1,4,Hibernating
ORD-10148,136,1,900000,2,1,2,Hibernating
ORD-10149,84,1,1350000,3,1,3,Potential
ORD-10150,128,1,2400000,2,1,3,Hibernating
ORD-10151,167,1,750000,1,1,2,Hibernating
ORD-10152,54,1,450000,3,1,1,Potential
ORD-10153,110,1,25500000,2,1,4,Hibernating
ORD-10154,10,1,1200000,4,1,3,Potential
ORD-10155,168,1,1200000,1,1,3,Hibernating
ORD-10156,192,1,900000,1,1,2,Hibernating
ORD-10157,24,1,1200000,4,1,3,Potential
ORD-10158,38,1,750000,4,1,2,Potential
ORD-10159,65,1,25500000,3,1,4,Potential
ORD-10160,22,1,2400000,4,1,3,Potential
ORD-10161,194,1,450000,1,1,1,Hibernating
ORD-10162,138,1,25500000,2,1,4,Hibernating
ORD-10163,78,1,25500000,3,1,4,Potential
ORD-10164,65,1,3600000,3,1,3,Potential
ORD-10165,159,1,3600000,2,1,4,Hibernating
ORD-10166,84,1,1200000,3,1,3,Potential
ORD-10167,65,1,2400000,3,1,3,Potential
ORD-10168,3,1,8500000,4,1,4,Potential
ORD-10169,144,1,2400000,2,1,3,Hibernating
ORD-10170,27,1,25500000,4,1,4,Potential
ORD-10171,168,1,8500000,1,1,4,Hibernating
ORD-10172,72,1,8500000,3,1,4,Potential
ORD-10173,77,1,500000,3,1,2,Potential
ORD-10174,153,1,450000,2,1,1,Hibernating
ORD-10175,67,1,2400000,3,1,3,Potential
ORD-10176,96,1,500000,3,1,2,Potential
ORD-10177,90,1,500000,3,1,2,Potential
ORD-10178,192,1,2400000,1,1,3,Hibernating
ORD-10179,131,1,300000,2,1,1,Hibernating
ORD-10180,51,1,500000,4,1,2,Potential
ORD-10181,24,1,250000,4,1,1,Potential
ORD-10182,186,1,25500000,1,1,4,Hibernating
ORD-10183,77,1,1350000,3,1,3,Potential
ORD-10184,3,1,8500000,4,1,4,Potential
ORD-10185,6,1,900000,4,1,2,Potential
ORD-10186,150,1,1200000,2,1,3,Hibernating
ORD-10187,106,1,1200000,3,1,3,Potential
ORD-10188,149,1,250000,2,1,1,Hibernating
ORD-10189,16,1,1350000,4,1,3,Potential
ORD-10190,75,1,450000,3,1,1,Potential
ORD-10191,213,1,500000,1,1,2,Hibernating
ORD-10192,86,1,300000,3,1,1,Potential
ORD-10193,46,1,25500000,4,1,4,Potential
ORD-10194,34,1,450000,4,1,1,Potential
ORD-10195,189,1,450000,1,1,1,Hibernating
ORD-10196,39,1,25500000,4,1,4,Potential
ORD-10197,124,1,1200000,2,1,3,Hibernating
ORD-10198,99,1,750000,3,1,2,Potential
ORD-10199,213,1,1350000,1,1,3,Hibernating
ORD-10200,141,1,450000,2,1,1,Hibernating
ORD-10201,72,1,500000,3,1,2,Potential
ORD-10202,196,1,900000,1,1,2,Hibernating
ORD-10203,85,1,450000,3,1,1,Potential
ORD-10204,174,1,250000,1,1,1,Hibernating
ORD-10205,43,1,450000,4,1,1,Potential
ORD-10206,80,1,150000,3,1,1,Potential
ORD-10207,117,1,1350000,2,1,3,Hibernating
ORD-10208,147,1,2400000,2,1,3,Hibernating
ORD-10209,194,1,750000,1,1,2,Hibernating
ORD-10210,104,1,900000,3,1,2,Potential
ORD-10211,164,1,450000,1,1,1,Hibernating
ORD-10212,139,1,8500000,2,1,4,Hibernating
ORD-10213,215,1,450000,1,1,1,Hibernating
ORD-10214,87,1,1200000,3,1,3,Potential
ORD-10215,100,1,750000,3,1,2,Potential
ORD-10216,149,1,25500000,2,1,4,Hibernating
ORD-10217,145,1,450000,2,1,1,Hibernating
ORD-10218,201,1,450000,1,1,1,Hibernating
ORD-10219,97,1,1350000,3,1,3,Potential
ORD-10220,140,1,8500000,2,1,4,Hibernating
ORD-10221,122,1,750000,2,1,2,Hibernating
ORD-10222,100,1,3600000,3,1,4,Potential
ORD-10223,24,1,3600000,4,1,4,Potential
ORD-10224,146,1,900000,2,1,2,Hibernating
ORD-10225,52,1,500000,4,1,2,Potential
ORD-10226,81,1,1200000,3,1,3,Potential
ORD-10227,210,1,8500000,1,1,4,Hibernating
ORD-10228,195,1,150000,1,1,1,Hibernating
ORD-10229,179,1,8500000,1,1,4,Hibernating
ORD-10230,70,1,500000,3,1,2,Potential
ORD-10231,14,1,300000,4,1,1,Potential
ORD-10232,136,1,2400000,2,1,3,Hibernating
ORD-10233,66,1,17000000,3,1,4,Potential
ORD-10234,32,1,300000,4,1,1,Potential
ORD-10235,92,1,500000,3,1,2,Potential
ORD-10236,1,1,1350000,4,1,3,Potential
ORD-10237,51,1,1350000,4,1,3,Potential
ORD-10238,136,1,8500000,2,1,4,Hibernating
ORD-10239,89,1,900000,3,1,2,Potential
ORD-10240,151,1,3600000,2,1,4,Hibernating
ORD-10241,127,1,150000,2,1,1,Hibernating
ORD-10242,173,1,900000,1,1,2,Hibernating
ORD-10243,34,1,3600000,4,1,4,Potential
ORD-10244,88,1,450000,3,1,1,Potential
ORD-10245,151,1,150000,2,1,1,Hibernating
ORD-10246,55,1,450000,3,1,1,Potential
ORD-10247,25,1,900000,4,1,2,Potential
ORD-10248,26,1,8500000,4,1,4,Potential
ORD-10249,153,1,250000,2,1,1,Hibernating
ORD-10250,161,1,25500000,2,1,4,Hibernating
ORD-10251,46,1,750000,4,1,2,Potential
ORD-10252,58,1,450000,3,1,1,Potential
ORD-10253,211,1,450000,1,1,1,Hibernating
ORD-10254,89,1,500000,3,1,2,Potential
ORD-10255,115,1,17000000,2,1,4,Hibernating
ORD-10256,217,1,450000,1,1,1,Hibernating
ORD-10257,130,1,450000,2,1,1,Hibernating
ORD-10258,98,1,150000,3,1,1,Potential
ORD-10259,14,1,900000,4,1,2,Potential
ORD-10260,37,1,250000,4,1,1,Potential
ORD-10261,64,1,900000,3,1,2,Potential
ORD-10262,102,1,1200000,3,1,3,Potential
ORD-10263,87,1,1200000,3,1,3,Potential
ORD-10264,63,1,900000,3,1,2,Potential
ORD-10265,182,1,500000,1,1,2,Hibernating
ORD-10266,52,1,3600000,4,1,4,Potential
ORD-10267,215,1,300000,1,1,1,Hibernating
ORD-10268,34,1,500000,4,1,2,Potential
ORD-10269,167,1,150000,1,1,1,Hibernating
ORD-10270,17,1,25500000,4,1,4,Potential
ORD-10271,55,1,1200000,3,1,3,Potential
ORD-10272,158,1,150000,2,1,1,Hibernating
ORD-10273,2,1,8500000,4,1,4,Potential
ORD-10274,171,1,450000,1,1,1,Hibernating
ORD-10275,34,1,3600000,4,1,4,Potential
ORD-10276,24,1,450000,4,1,1,Potential
ORD-10277,92,1,750000,3,1,2,Potential
ORD-10278,107,1,900000,2,1,2,Hibernating
ORD-10279,32,1,150000,4,1,1,Potential
ORD-10280,182,1,750000,1,1,2,Hibernating
ORD-10281,31,1,450000,4,1,1,Potential
ORD-10282,78,1,900000,3,1,2,Potential
ORD-10283,178,1,750000,1,1,2,Hibernating
ORD-10284,151,1,2400000,2,1,3,Hibernating
ORD-10285,78,1,1200000,3,1,3,Potential
ORD-10286,198,1,8500000,1,1,4,Hibernating
ORD-10287,118,1,500000,2,1,2,Hibernating
ORD-10288,82,1,450000,3,1,1,Potential
ORD-10289,212,1,500000,1,1,2,Hibernating
ORD-10290,18,1,900000,4,1,2,Potential
ORD-10291,181,1,3600000,1,1,4,Hibernating
ORD-10292,32,1,150000,4,1,1,Potential
ORD-10293,94,1,25500000,3,1,4,Potential
ORD-10294,187,1,750000,1,1,2,Hibernating
ORD-10295,23,1,900000,4,1,2,Potential
ORD-10296,28,1,8500000,4,1,4,Potential
ORD-10297,91,1,1350000,3,1,3,Potential
ORD-10298,221,1,25500000,1,1,4,Hibernating
ORD-10299,170,1,1200000,1,1,3,Hibernating
ORD-10300,130,1,250000,2,1,1,Hibernating
ORD-10301,116,1,25500000,2,1,4,Hibernating
ORD-10302,177,1,8500000,1,1,4,Hibernating
ORD-10303,78,1,750000,3,1,2,Potential
ORD-10304,115,1,8500000,2,1,4,Hibernating
ORD-10305,177,1,250000,1,1,1,Hibernating
ORD-10306,124,1,500000,2,1,2,Hibernating
ORD-10307,79,1,500000,3,1,2,Potential
ORD-10308,209,1,1350000,1,1,3,Hibernating
ORD-10309,43,1,3600000,4,1,4,Potential
ORD-10310,196,1,450000,1,1,1,Hibernating
ORD-10311,89,1,900000,3,1,2,Potential
ORD-10312,192,1,2400000,1,1,3,Hibernating
ORD-10313,9,1,1350000,4,1,3,Potential
ORD-10314,174,1,150000,1,1,1,Hibernating
ORD-10315,213,1,2400000,1,1,3,Hibernating
ORD-10316,126,1,17000000,2,1,4,Hibernating
ORD-10317,181,1,17000000,1,1,4,Hibernating
ORD-10318,97,1,3600000,3,1,4,Potential
ORD-10319,172,1,450000,1,1,1,Hibernating
ORD-10320,83,1,2400000,3,1,3,Potential
ORD-10321,80,1,1200000,3,1,3,Potential
ORD-10322,216,1,25500000,1,1,4,Hibernating
ORD-10323,135,1,500000,2,1,2,Hibernating
ORD-10324,146,1,2400000,2,1,3,Hibernating
ORD-10325,198,1,1350000,1,1,3,Hibernating
ORD-10326,142,1,8500000,2,1,4,Hibernating
ORD-10327,108,1,1350000,2,1,3,Hibernating
ORD-10328,60,1,150000,3,1,1,Potential
ORD-10329,25,1,25500000,4,1,4,Potential
ORD-10330,54,1,900000,3,1,2,Potential
ORD-10331,101,1,2400000,3,1,3,Potential
ORD-10332,151,1,150000,2,1,1,Hibernating
ORD-10333,96,1,1200000,3,1,3,Potential
ORD-10334,215,1,1350000,1,1,3,Hibernating
ORD-10335,116,1,17000000,2,1,4,Hibernating
ORD-10336,163,1,1200000,1,1,3,Hibernating
ORD-10337,52,1,1200000,4,1,3,Potential
ORD-10338,189,1,300000,1,1,1,Hibernating
ORD-10339,89,1,2400000,3,1,3,Potential
ORD-10340,41,1,300000,4,1,1,Potential
ORD-10341,104,1,500000,3,1,2,Potential
ORD-10342,199,1,8500000,1,1,4,Hibernating
ORD-10343,145,1,450000,2,1,1,Hibernating
ORD-10344,12,1,500000,4,1,2,Potential
ORD-10345,119,1,3600000,2,1,4,Hibernating
ORD-10346,200,1,1200000,1,1,3,Hibernating
ORD-10347,98,1,300000,3,1,1,Potential
ORD-10348,49,1,1350000,4,1,3,Potential
ORD-10349,22,1,2400000,4,1,3,Potential
ORD-10350,50,1,25500000,4,1,4,Potential
ORD-10351,123,1,750000,2,1,2,Hibernating
ORD-10352,61,1,450000,3,1,1,Potential
ORD-10353,34,1,1200000,4,1,3,Potential
ORD-10354,109,1,300000,2,1,1,Hibernating
ORD-10355,181,1,1200000,1,1,3,Hibernating
ORD-10356,173,1,500000,1,1,2,Hibernating
ORD-10357,4,1,25500000,4,1,4,Potential
ORD-10358,16,1,750000,4,1,2,Potential
ORD-10359,106,1,1350000,3,1,3,Potential
ORD-10360,139,1,450000,2,1,1,Hibernating
ORD-10361,186,1,2400000,1,1,3,Hibernating
ORD-10362,49,1,450000,4,1,1,Potential
ORD-10363,66,1,8500000,3,1,4,Potential
ORD-10364,64,1,150000,3,1,1,Potential
ORD-10365,197,1,25500000,1,1,4,Hibernating
ORD-10366,86,1,250000,3,1,1,Potential
ORD-10367,174,1,25500000,1,1,4,Hibernating
ORD-10368,150,1,900000,2,1,2,Hibernating
ORD-10369,22,1,3600000,4,1,4,Potential
ORD-10370,16,1,250000,4,1,1,Potential
ORD-10371,61,1,1200000,3,1,3,Potential
